stem,day,lvl,ring_struct,before,after,gain,d1,d2,note
20260722_110921,20260722,149.7,2.52,6.216,0.466,2.527,2.865,0.613,
20260722_111221,20260722,147.0,3.616,8.485,2.646,3.656,4.853,2.661,
20260722_111515,20260722,150.3,2.16,4.96,1.29,3.499,2.601,1.352,
20260722_111808,20260722,148.7,5.101,-0.241,-0.244,0.2,-0.557,-0.878,
20260722_112102,20260722,142.7,4.807,10.716,0.684,4.372,8.395,5.408,
20260722_112356,20260722,131.7,2.388,4.698,0.761,3.327,2.953,1.43,
20260722_112650,20260722,118.7,2.268,5.023,1.976,5.463,2.807,2.053,
20260722_112944,20260722,104.0,3.567,4.711,1.154,3.365,2.321,1.144,
20260722_113238,20260722,98.7,4.403,4.49,1.027,4.598,3.139,2.092,
20260722_113531,20260722,115.3,4.036,6.905,0.879,3.123,4.332,1.884,
20260722_113815,20260722,113.3,2.647,4.518,0.705,3.426,1.78,0.899,
20260722_114351,20260722,96.0,4.566,3.278,0.099,2.293,1.355,0.098,
20260722_114929,20260722,84.7,3.983,3.725,0.492,2.967,2.131,0.831,
20260722_115504,20260722,77.3,4.915,3.478,0.157,2.278,2.573,0.157,
20260722_120039,20260722,79.3,4.849,-0.759,-0.759,0.2,-2.357,-3.107,
20260722_120616,20260722,90.3,5.324,11.931,1.597,4.027,9.528,5.751,
20260722_121151,20260722,100.7,3.023,4.97,1.745,6.0,2.979,2.315,
20260722_121727,20260722,123.0,5.583,-3.873,-3.873,0.2,-4.244,-4.359,
20260722_122304,20260722,125.0,3.09,4.718,0.526,3.008,2.378,0.957,
20260722_122839,20260722,132.0,3.188,4.633,0.728,3.188,1.613,0.728,
20260722_123415,20260722,126.7,3.272,4.174,0.187,2.627,1.611,0.423,
20260722_123953,20260722,126.0,3.011,5.537,1.055,3.2,2.474,1.124,
20260722_124529,20260722,135.0,3.771,3.987,0.496,2.647,1.826,0.495,
20260722_125104,20260722,135.3,3.383,-0.175,-0.74,6.0,-0.755,-0.743,
20260722_125641,20260722,132.3,6.084,-4.684,-4.69,0.2,-5.054,-5.432,
20260722_130216,20260722,128.3,3.385,7.428,1.931,2.838,5.552,1.926,
20260722_130752,20260722,120.7,2.967,2.057,0.096,1.421,0.321,-0.594,
20260722_131330,20260722,128.7,4.67,15.405,1.75,4.613,12.217,8.16,
20260722_131905,20260722,129.7,4.37,12.48,1.636,3.474,9.762,5.027,
20260722_132441,20260722,130.0,3.763,3.67,0.89,3.22,1.992,0.915,
20260722_133019,20260722,132.7,4.089,7.197,1.211,2.857,4.62,1.635,
20260722_133555,20260722,131.0,3.576,3.972,0.014,2.214,1.257,0.014,
20260722_134130,20260722,134.3,4.619,10.636,0.625,3.375,7.369,3.646,
20260722_134708,20260722,133.7,4.257,-1.096,-2.495,6.0,-2.266,-2.243,
20260722_135243,20260722,138.0,3.081,11.624,2.932,3.025,7.505,3.057,
20260722_135817,20260722,139.0,3.818,6.205,0.916,3.058,3.415,1.424,
20260722_140354,20260722,131.7,6.368,0.595,0.291,0.2,-1.261,-1.616,
20260722_140929,20260722,131.3,4.706,6.467,0.973,2.763,4.005,1.279,
20260722_141505,20260722,129.3,6.082,-0.434,-1.528,6.0,-1.543,-1.543,
20260722_142043,20260722,129.0,3.884,5.949,0.688,2.559,3.322,0.766,
20260722_142702,20260722,136.7,3.519,-0.53,-0.53,0.2,-1.05,-1.071,
20260722_143237,20260722,140.0,5.976,-1.11,-1.11,0.2,-1.76,-2.225,
20260722_143815,20260722,137.0,2.853,2.72,0.263,1.502,0.505,-0.702,
20260722_144350,20260722,144.0,4.804,4.614,0.642,2.703,2.319,0.685,
20260722_144924,20260722,142.0,5.292,-1.602,-2.135,6.0,-2.167,-2.163,
20260722_145503,20260722,142.7,9.223,2.114,-0.408,1.612,0.692,-0.665,
20260722_150038,20260722,144.7,12.303,4.675,0.189,2.616,2.559,0.659,
20260722_150612,20260722,134.0,7.626,7.407,0.311,2.919,5.15,1.929,
20260722_151149,20260722,132.3,4.627,-4.493,-4.493,0.2,-4.497,-4.663,
20260722_151723,20260722,132.7,13.456,-6.643,-6.643,0.2,-6.653,-6.695,
20260722_152258,20260722,135.0,5.37,-2.509,-2.509,0.2,-2.963,-3.172,
20260722_152834,20260722,144.0,6.133,5.965,0.137,2.405,3.411,0.497,
20260722_153409,20260722,140.3,4.678,6.663,0.765,3.052,3.153,1.309,
20260722_153943,20260722,137.3,9.012,18.332,1.893,6.0,15.497,12.086,
20260722_154520,20260722,140.7,5.359,-2.96,-3.301,6.0,-3.34,-3.334,
20260722_155054,20260722,137.7,10.006,3.61,-0.682,1.379,1.211,-2.627,
20260722_155629,20260722,142.3,5.825,-4.242,-4.242,0.2,-5.003,-5.3,
20260722_160206,20260722,142.3,7.322,-1.883,-1.883,0.2,-2.057,-2.215,
20260722_160740,20260722,137.7,7.282,-6.212,-6.199,0.2,-6.662,-6.669,
20260722_161314,20260722,133.0,4.604,1.427,0.116,2.002,0.857,-0.169,
20260722_161851,20260722,142.3,9.459,-12.855,-12.848,6.0,-12.907,-12.858,
20260722_162425,20260722,133.7,5.752,2.109,0.065,1.074,0.063,-0.957,
20260722_163000,20260722,131.7,15.867,-17.241,-17.241,0.2,-17.243,-17.256,
20260722_163536,20260722,146.3,10.494,2.261,0.828,0.787,-0.24,-1.589,
20260722_164111,20260722,144.3,13.892,10.469,1.469,3.022,6.988,2.842,
20260722_164645,20260722,143.7,12.13,10.148,2.115,3.052,6.678,2.772,
20260722_165222,20260722,138.3,13.495,31.96,10.069,6.0,28.689,24.473,
20260722_165757,20260722,135.3,10.212,2.615,0.063,1.396,0.695,-1.411,
20260722_170331,20260722,134.7,9.104,-0.103,-0.103,0.2,-0.985,-1.461,
20260722_170908,20260722,143.0,6.559,13.257,2.705,3.443,9.375,4.771,
20260722_171443,20260722,141.7,7.782,11.145,1.812,3.621,7.211,3.91,
20260722_172018,20260722,133.7,9.296,12.426,2.275,3.945,8.972,5.317,
20260722_172638,20260722,138.7,9.582,19.17,1.72,4.841,15.501,10.658,
20260722_173212,20260722,137.7,7.048,4.922,0.298,2.585,2.423,0.588,
20260722_173747,20260722,140.3,10.129,15.967,2.022,3.75,12.751,7.187,
20260722_174323,20260722,136.0,9.691,4.205,-0.07,2.396,2.246,0.316,
20260722_174858,20260722,134.0,2.686,2.903,0.069,1.663,0.773,-0.626,
20260722_175432,20260722,138.0,8.018,-3.384,-3.384,0.2,-4.239,-4.553,
20260722_180009,20260722,141.0,9.497,11.077,1.449,3.919,8.272,4.871,
20260722_180543,20260722,141.0,11.567,13.472,2.878,3.508,10.38,5.415,
20260722_181118,20260722,141.0,6.867,12.375,1.789,3.494,8.447,4.382,
20260722_181654,20260722,135.0,6.387,10.423,3.002,3.541,7.435,3.924,
20260722_182229,20260722,138.3,8.728,16.436,3.091,4.164,13.734,8.525,
20260722_182804,20260722,132.0,2.721,3.338,0.05,2.013,0.987,-0.182,
20260722_183340,20260722,130.7,9.16,-1.291,-1.288,0.2,-2.15,-2.422,
20260722_183915,20260722,133.3,6.772,11.652,2.921,3.644,8.654,4.726,
20260722_184449,20260722,131.0,6.668,10.635,1.279,3.042,7.53,3.104,
20260722_185026,20260722,133.0,12.421,29.8,8.191,6.0,27.257,22.593,
20260722_185601,20260722,128.3,9.817,7.209,1.553,3.424,4.889,2.469,
20260722_190136,20260722,127.7,13.114,22.045,3.185,5.551,19.479,14.343,
20260722_190713,20260722,126.3,13.871,-9.739,-9.739,0.2,-9.736,-9.738,
20260722_191247,20260722,128.3,15.641,-2.76,-2.766,0.2,-2.859,-3.258,
20260722_191822,20260722,132.0,17.493,28.887,8.78,6.0,25.726,21.093,
20260722_192358,20260722,124.3,10.593,-0.377,-0.704,0.2,-2.957,-3.64,
20260722_192933,20260722,141.0,16.484,19.306,2.817,4.749,15.739,10.701,
20260722_193507,20260722,137.7,12.272,16.26,3.322,5.308,13.159,9.494,
20260722_194044,20260722,137.7,9.635,6.555,0.179,2.417,3.516,0.538,
20260722_194618,20260722,136.7,7.794,12.517,2.06,4.002,9.086,5.454,
20260722_195153,20260722,136.7,13.78,34.279,16.317,6.0,31.896,27.796,
20260722_195730,20260722,144.7,8.631,3.034,-0.124,1.341,0.593,-1.495,
20260722_200304,20260722,143.3,7.744,0.731,0.731,0.2,-0.512,-0.584,
20260722_200839,20260722,140.3,13.433,-14.164,-14.164,0.2,-14.162,-14.167,
20260722_201416,20260722,136.7,7.205,10.698,1.818,3.062,7.182,3.003,
20260722_201950,20260722,144.0,13.176,-11.717,-11.717,0.2,-11.721,-11.726,
20260722_202609,20260722,154.0,7.006,7.02,0.686,2.91,3.683,1.369,
20260722_203145,20260722,149.0,7.496,-3.908,-3.908,0.2,-4.416,-5.222,
20260722_203720,20260722,141.3,6.604,4.759,0.298,2.389,2.265,0.308,
20260722_204256,20260722,143.7,7.402,0.034,0.034,0.2,-1.067,-1.806,
20260722_204509,20260722,142.0,10.334,7.188,0.339,2.373,4.014,0.505,
20260722_204819,20260722,147.7,11.817,8.365,1.557,3.759,5.273,2.98,
20260722_205344,20260722,149.3,8.264,9.953,1.482,2.741,7.23,2.248,
20260722_205909,20260722,151.3,19.681,7.622,0.419,3.296,4.935,2.355,
20260722_210436,20260722,150.3,11.782,12.657,1.707,3.259,8.926,4.185,
20260722_211001,20260722,155.3,8.965,0.83,0.83,0.2,-1.195,-1.659,
20260722_211526,20260722,154.3,5.119,3.632,-0.014,2.187,1.2,-0.014,
20260722_212054,20260722,163.7,6.175,0.5,0.5,0.2,-0.822,-1.124,
20260722_212619,20260722,165.3,6.47,3.006,0.148,1.384,0.309,-0.655,
20260722_213144,20260722,164.0,6.249,14.043,1.892,3.302,10.132,4.85,
20260722_213712,20260722,155.0,9.203,8.803,1.78,2.794,5.359,1.775,
20260722_214237,20260722,153.0,8.1,-4.321,-4.321,0.2,-4.318,-4.507,
20260722_214802,20260722,151.3,9.369,24.594,3.247,6.0,21.464,17.05,
20260722_215329,20260722,155.3,8.302,13.974,2.647,3.399,10.29,5.143,
20260722_215854,20260722,160.0,9.63,8.927,1.284,2.848,5.895,2.066,
20260722_220419,20260722,146.7,5.396,11.026,1.349,2.665,7.151,1.998,
20260722_220946,20260722,146.7,10.766,4.724,-0.214,2.103,2.361,-0.208,
20260722_221511,20260722,150.0,6.482,8.043,1.156,3.204,4.439,2.023,
20260722_222036,20260722,154.0,9.013,30.906,9.982,6.0,28.247,23.764,
20260722_222603,20260722,154.0,9.735,10.732,1.669,2.827,7.397,2.538,
20260722_223128,20260722,162.0,9.11,-1.355,-1.524,0.2,-1.861,-1.863,
20260722_223653,20260722,158.3,6.485,2.22,-0.72,1.527,0.534,-0.682,
20260722_224220,20260722,157.3,8.775,-10.089,-10.056,6.0,-10.087,-10.075,
20260722_224745,20260722,158.3,11.42,4.368,0.752,3.246,1.702,0.793,
20260722_225310,20260722,156.0,11.982,6.057,0.002,2.935,1.891,0.718,
20260722_225837,20260722,156.3,9.507,6.571,1.138,4.932,2.509,1.743,
20260722_230402,20260722,156.0,12.233,11.754,1.581,3.11,7.408,3.196,
20260722_230927,20260722,154.7,12.09,-22.203,-22.005,6.0,-22.206,-21.963,
20260722_231454,20260722,157.7,10.054,5.589,0.082,2.246,2.288,0.084,
20260722_231649,20260722,155.7,10.59,2.146,0.406,1.6,0.4,-0.401,
20260722_231933,20260722,154.3,10.456,6.541,0.383,3.16,3.155,1.402,
20260722_232217,20260722,156.0,11.03,4.414,0.19,2.504,0.862,0.174,
20260722_232502,20260722,156.7,10.411,0.581,-0.047,0.2,-1.39,-1.394,
20260722_232746,20260722,155.7,9.18,26.011,1.476,6.0,22.1,17.0,
20260722_233030,20260722,157.0,7.64,11.74,1.029,3.079,6.276,2.654,
20260722_233314,20260722,155.0,6.174,-12.965,-12.93,6.0,-12.964,-12.957,
20260722_233609,20260722,157.0,6.683,10.472,0.238,2.435,5.891,0.965,
20260722_233854,20260722,155.0,8.555,-0.966,-0.965,0.2,-1.924,-2.867,
20260722_234138,20260722,156.3,9.446,-5.387,-5.387,0.2,-5.386,-5.515,
20260722_234422,20260722,157.0,9.318,-14.733,-14.559,6.0,-14.735,-14.735,
20260722_234706,20260722,156.3,8.923,12.038,1.659,2.829,7.948,2.733,
20260722_234951,20260722,156.7,8.969,4.62,0.243,3.132,1.83,0.8,
20260722_235235,20260722,154.3,10.323,11.99,1.791,4.34,8.997,5.765,
20260722_235519,20260722,154.7,11.566,-8.582,-8.582,0.2,-8.581,-8.678,
20260722_235804,20260722,153.3,8.964,4.188,0.014,2.574,2.159,0.513,
20260723_000048,20260723,151.3,7.777,-2.609,-2.609,0.2,-2.574,-2.898,
20260723_000332,20260723,146.7,6.535,-7.254,-7.254,0.2,-7.829,-8.204,
20260723_000617,20260723,143.7,6.807,15.153,7.43,6.0,13.47,11.352,
20260723_000901,20260723,143.3,11.205,2.795,0.206,3.736,1.601,0.899,
20260723_001145,20260723,141.3,12.016,5.204,1.409,4.011,3.072,1.847,
20260723_001430,20260723,135.3,12.279,-49.201,-49.201,0.2,-49.201,-49.201,
20260723_001714,20260723,132.7,13.994,16.941,4.655,6.0,15.202,12.856,
20260723_001959,20260723,128.7,12.486,9.673,2.673,4.462,7.974,5.209,
20260723_002243,20260723,126.3,13.162,-21.768,-21.826,6.0,-21.768,-21.767,
20260723_002528,20260723,120.7,10.116,0.144,0.144,0.2,-0.755,-1.647,
20260723_002827,20260723,117.7,10.255,13.513,4.708,6.0,11.713,9.131,
20260723_003112,20260723,113.0,13.206,-11.367,-11.367,0.2,-11.37,-11.37,
20260723_003356,20260723,110.7,11.835,14.155,6.546,6.0,13.387,11.226,
20260723_003641,20260723,106.3,10.864,12.72,6.837,6.0,11.848,9.885,
20260723_003925,20260723,101.3,9.836,12.941,6.066,6.0,12.0,10.094,
20260723_004210,20260723,96.7,9.799,-18.86,-18.86,0.2,-18.861,-18.879,
20260723_004454,20260723,84.3,13.919,7.271,4.361,5.693,6.293,4.684,
20260723_004739,20260723,83.0,12.519,8.317,4.739,6.0,7.545,6.263,
20260723_005024,20260723,70.3,19.461,10.585,7.955,6.0,9.085,7.936,
20260723_005309,20260723,53.0,15.483,-0.958,-0.958,0.2,-1.436,-1.657,
20260723_005553,20260723,41.3,16.189,-7.473,-7.473,0.2,-7.475,-7.825,
20260723_005838,20260723,29.3,21.756,39.827,31.928,6.0,39.461,38.317,
20260723_010122,20260723,20.7,19.393,-7.382,-7.382,0.2,-7.178,-8.214,
20260723_010540,20260723,10.3,22.479,15.016,10.91,6.0,14.428,12.667,
20260723_011104,20260723,0.3,33.95,-63.161,-63.161,1.0,-63.161,-63.161,
20260723_011704,20260723,,,,,,,,night
20260723_012230,20260723,,,,,,,,night
20260723_012753,20260723,,,,,,,,night
20260723_013317,20260723,,,,,,,,night
20260723_013843,20260723,,,,,,,,night
20260723_091650,20260723,,,,,,,,night
20260723_092214,20260723,,,,,,,,night
20260723_092740,20260723,,,,,,,,night
20260723_093304,20260723,,,,,,,,night
20260723_093828,20260723,0.0,16.578,14.326,14.326,1.0,14.326,14.326,
20260723_094354,20260723,2.0,9.81,6.272,4.598,5.489,6.272,4.596,
20260723_094918,20260723,18.0,6.171,5.304,4.273,6.0,4.794,4.793,
20260723_094956,20260723,17.7,6.121,6.861,4.841,6.0,6.36,6.351,
20260723_095241,20260723,31.0,4.747,5.645,3.609,6.0,5.642,4.827,
20260723_095525,20260723,44.0,4.081,5.814,2.962,6.0,4.383,3.665,
20260723_095810,20260723,62.7,3.128,4.147,2.357,5.145,4.146,2.946,
20260723_100054,20260723,80.3,2.649,4.126,2.204,6.0,3.34,2.562,
20260723_100339,20260723,92.7,2.546,4.117,2.106,6.0,3.122,2.389,
20260723_100623,20260723,103.3,2.542,3.961,1.109,3.29,2.537,1.208,
20260723_100908,20260723,113.0,2.495,4.301,1.374,3.873,2.728,1.588,
20260723_101153,20260723,117.0,2.428,4.504,1.389,3.575,2.725,1.455,
20260723_101437,20260723,122.3,2.293,3.267,0.462,4.081,2.186,1.335,
20260723_101721,20260723,130.0,2.165,3.37,0.688,3.704,2.335,1.299,
20260723_102006,20260723,136.7,2.076,3.626,0.839,2.915,2.231,0.833,
20260723_102250,20260723,142.0,1.972,3.803,0.354,3.368,1.48,0.73,
20260723_102534,20260723,146.7,2.04,2.51,0.903,3.297,1.914,0.914,
20260723_102819,20260723,150.7,1.96,2.822,0.319,2.754,1.67,0.527,
20260723_103103,20260723,153.0,1.926,2.906,0.45,2.773,1.385,0.448,
20260723_103347,20260723,155.0,1.821,3.79,0.778,3.19,1.755,0.793,
20260723_103644,20260723,156.3,1.844,4.525,0.981,2.769,3.051,0.981,
20260723_103928,20260723,157.0,1.905,3.981,0.451,2.501,2.499,0.501,
20260723_104213,20260723,157.7,1.907,3.666,0.175,2.35,1.878,0.209,
20260723_104457,20260723,156.0,1.913,2.263,-0.187,2.528,0.846,0.182,
20260723_104741,20260723,155.7,1.945,1.332,0.0,1.001,0.001,-0.582,
20260723_105025,20260723,155.7,1.929,0.336,-0.374,6.0,-0.449,-0.398,
20260723_105309,20260723,156.0,1.947,-0.619,-0.835,6.0,-0.809,-0.645,
20260723_105553,20260723,155.3,2.09,-1.021,-1.618,6.0,-1.7,-1.633,
20260723_105837,20260723,157.0,2.01,-1.587,-1.587,0.2,-1.749,-1.885,
20260723_110121,20260723,156.7,2.0,-0.814,-0.814,0.2,-1.342,-1.509,
20260723_110405,20260723,156.3,2.034,-0.309,-0.309,0.2,-1.204,-1.546,
20260723_110649,20260723,157.3,1.965,-1.172,-1.592,6.0,-1.355,-1.26,
20260723_110933,20260723,157.0,2.007,-0.458,-1.077,6.0,-1.169,-0.946,
20260723_111217,20260723,156.7,2.054,-1.204,-1.794,6.0,-1.754,-1.721,
20260723_111501,20260723,157.0,2.039,-1.391,-1.391,0.2,-1.915,-1.942,
20260723_111746,20260723,156.0,1.964,-1.0,-1.0,0.2,-1.032,-1.579,
20260723_112030,20260723,155.0,1.957,-2.939,-3.327,6.0,-3.348,-3.331,
20260723_112314,20260723,155.3,2.023,-2.362,-2.362,0.2,-2.745,-2.776,
20260723_112558,20260723,154.3,1.968,-0.908,-0.908,0.2,-1.929,-1.931,
20260723_112857,20260723,153.7,1.965,-1.865,-2.058,6.0,-2.067,-2.057,
20260723_113141,20260723,155.0,1.976,-1.373,-1.373,0.2,-2.165,-2.172,
20260723_113425,20260723,153.3,2.034,-2.101,-2.484,6.0,-2.503,-2.48,
20260723_113709,20260723,152.3,2.114,-1.788,-1.788,0.2,-2.413,-2.622,
20260723_113909,20260723,153.0,2.169,-1.7,-1.7,0.2,-2.119,-2.123,
20260723_114434,20260723,154.0,2.163,-1.369,-1.369,0.2,-2.194,-2.767,
20260723_115001,20260723,153.3,2.179,-1.892,-1.892,0.2,-2.723,-2.926,
20260723_115527,20260723,152.3,2.149,-1.89,-2.522,6.0,-2.525,-2.524,
20260723_120052,20260723,153.3,2.163,-2.178,-2.178,0.2,-2.391,-2.804,
20260723_120620,20260723,152.3,2.306,1.747,0.715,3.494,1.378,0.715,
20260723_121145,20260723,151.7,2.294,2.557,0.178,2.447,1.046,0.178,
20260723_121711,20260723,149.0,2.52,2.539,0.299,2.602,1.194,0.3,
20260723_122239,20260723,148.0,2.487,3.175,1.142,3.448,2.276,1.161,
20260723_122804,20260723,144.3,2.57,2.173,0.544,6.0,1.24,1.004,
20260723_123330,20260723,144.0,2.547,3.115,0.778,3.526,1.476,0.775,
20260723_123857,20260723,143.7,2.595,3.211,0.874,3.331,2.276,1.104,
20260723_124423,20260723,144.3,2.56,3.817,0.507,3.754,2.163,1.22,
20260723_124949,20260723,141.7,2.682,2.654,0.474,2.789,1.445,0.476,
20260723_125518,20260723,143.0,2.612,3.094,1.161,4.155,1.895,1.174,
20260723_130043,20260723,142.0,2.632,3.644,0.741,2.937,1.955,0.744,
20260723_130610,20260723,140.3,2.658,3.448,0.991,3.006,2.472,0.993,
20260723_131137,20260723,140.7,2.679,3.606,0.662,3.609,2.144,1.158,
20260723_131703,20260723,139.7,2.788,2.395,0.645,4.928,1.647,1.144,
20260723_132230,20260723,139.7,2.758,3.225,0.741,5.163,1.738,1.237,
20260723_132757,20260723,138.3,2.865,3.592,0.325,3.89,1.839,1.076,
20260723_133324,20260723,139.0,2.866,4.215,0.831,3.184,2.719,1.225,
20260723_133850,20260723,134.7,2.974,3.623,1.042,3.005,2.578,1.035,
20260723_134418,20260723,135.3,2.995,3.249,0.641,3.902,2.2,1.29,
20260723_134944,20260723,133.7,2.942,4.583,2.539,4.685,3.823,2.578,
20260723_135509,20260723,134.3,2.914,5.105,2.275,6.0,3.832,2.973,
20260723_140037,20260723,134.3,2.97,4.79,2.334,5.908,4.025,3.041,
20260723_140603,20260723,133.0,2.824,4.173,4.173,0.2,3.118,3.364,
20260723_141129,20260723,133.0,2.786,4.557,3.44,6.0,3.745,3.466,
20260723_141657,20260723,133.3,2.815,3.786,2.726,6.0,3.262,2.776,
20260723_142223,20260723,133.7,2.832,3.703,2.648,5.958,3.443,2.609,
20260723_142834,20260723,134.0,2.843,4.025,2.966,6.0,3.758,2.982,
20260723_143405,20260723,129.7,2.969,4.929,2.406,6.0,3.264,2.681,
20260723_143934,20260723,129.3,3.033,4.074,2.114,6.0,3.23,2.681,
20260723_144505,20260723,129.3,3.014,4.598,2.511,6.0,3.479,2.869,
20260723_145036,20260723,127.7,2.98,4.791,2.878,6.0,3.957,3.406,
20260723_145604,20260723,126.7,3.012,4.446,2.595,6.0,3.049,2.503,
20260723_150132,20260723,123.7,3.054,5.437,2.931,4.531,4.88,3.221,
20260723_150702,20260723,123.0,3.114,3.392,2.23,6.0,2.553,2.287,
20260723_151231,20260723,122.3,11.682,16.712,7.164,6.0,14.776,12.843,
20260723_151759,20260723,121.3,14.068,11.115,4.384,6.0,9.876,7.707,
20260723_152328,20260723,127.0,12.362,21.459,7.851,6.0,19.124,16.289,
20260723_152858,20260723,115.0,12.089,21.579,9.497,6.0,20.806,17.267,
20260723_153423,20260723,125.7,11.716,10.693,2.834,5.494,9.428,6.911,
20260723_153950,20260723,115.3,7.869,3.407,0.719,4.606,2.165,1.444,
20260723_154515,20260723,122.7,10.974,29.078,16.627,6.0,27.724,25.448,
20260723_155040,20260723,128.7,6.683,1.254,0.319,1.61,0.631,-0.609,
20260723_155608,20260723,115.7,8.678,7.138,3.826,6.0,5.565,4.7,
20260723_160133,20260723,118.0,8.9,11.136,5.545,4.986,7.91,5.529,
20260723_160659,20260723,123.0,3.242,4.672,1.615,4.885,2.774,1.917,
20260723_161226,20260723,129.7,15.44,-36.005,-36.125,6.0,-36.006,-35.969,
20260723_161751,20260723,119.0,12.831,12.399,1.974,5.327,10.792,7.799,
20260723_162316,20260723,130.7,10.801,12.622,4.485,6.0,11.004,8.706,
20260723_162844,20260723,129.0,6.152,2.165,1.052,5.016,1.489,1.044,
20260723_163409,20260723,125.3,6.731,6.491,1.685,5.241,3.802,2.726,
20260723_163934,20260723,128.7,6.29,7.737,2.449,3.638,6.384,3.48,
20260723_164501,20260723,123.0,9.713,11.786,3.437,6.0,9.733,7.986,
20260723_165026,20260723,126.7,13.9,12.985,3.335,5.669,11.778,8.751,
20260723_165551,20260723,124.0,21.138,-13.381,-13.381,0.2,-13.638,-13.639,
20260723_170119,20260723,120.7,14.155,-21.337,-21.337,0.2,-21.337,-21.341,
20260723_170644,20260723,119.7,8.451,6.214,1.311,4.413,4.878,3.163,
20260723_171209,20260723,120.3,6.501,3.798,2.673,6.0,3.488,2.911,
20260723_171736,20260723,118.7,5.188,4.138,1.98,5.869,3.413,2.572,
20260723_172302,20260723,119.3,3.093,5.122,2.493,4.179,4.01,2.496,
20260723_172911,20260723,114.3,7.501,20.643,9.644,6.0,19.007,15.95,
20260723_173438,20260723,115.7,11.185,1.037,0.121,0.675,-0.147,-0.691,
20260723_174003,20260723,114.3,4.617,3.54,1.053,3.115,2.561,1.108,
20260723_174533,20260723,116.7,15.457,25.772,12.669,6.0,23.696,20.657,
20260723_175101,20260723,115.3,16.464,-13.109,-13.109,0.2,-13.111,-13.115,
20260723_175627,20260723,114.0,14.641,33.668,23.916,6.0,32.41,30.682,
20260723_180152,20260723,118.0,16.339,17.596,7.761,6.0,16.226,14.133,
20260723_180720,20260723,113.3,17.485,19.343,7.557,6.0,17.943,15.552,
20260723_181245,20260723,115.7,4.02,3.257,0.712,3.592,2.382,1.279,
20260723_181810,20260723,111.7,14.5,16.156,5.998,6.0,15.229,12.772,
20260723_182338,20260723,113.0,16.09,-7.869,-7.869,0.2,-7.884,-8.829,
20260723_182903,20260723,111.7,23.896,37.438,23.162,6.0,35.642,33.314,
20260723_183429,20260723,116.3,11.896,-0.766,-0.732,6.0,-0.937,-0.93,
20260723_183956,20260723,118.7,15.97,8.664,3.408,6.0,7.473,5.703,
20260723_184521,20260723,120.3,4.73,4.921,3.178,6.0,4.348,3.486,
20260723_185052,20260723,115.7,3.285,4.631,2.415,6.0,3.701,3.398,
20260723_185619,20260723,115.0,3.282,4.189,2.837,5.042,4.195,2.949,
20260723_190144,20260723,115.0,3.179,4.409,2.278,6.0,3.531,3.168,
20260723_190714,20260723,116.0,12.446,12.551,4.121,5.555,11.168,8.225,
20260723_191242,20260723,113.7,3.362,5.513,3.231,5.873,4.635,3.494,
20260723_191808,20260723,111.3,12.442,26.846,13.132,6.0,25.107,22.329,
20260723_192334,20260723,110.3,9.949,7.318,2.727,4.026,5.798,3.498,
20260723_192901,20260723,118.3,8.357,3.52,1.125,3.952,2.686,1.594,
20260723_193427,20260723,119.3,3.686,7.6,3.599,6.0,5.977,4.647,
20260723_193952,20260723,120.7,2.973,3.85,3.85,0.2,2.763,2.816,
20260723_194525,20260723,121.3,2.86,5.868,3.866,6.0,4.514,4.348,
20260723_195051,20260723,120.7,10.636,3.216,1.749,4.901,2.543,1.761,
20260723_195616,20260723,123.0,3.146,4.317,1.169,2.772,3.566,1.151,
20260723_200144,20260723,124.0,3.157,5.655,2.23,5.312,3.803,2.745,
20260723_200709,20260723,120.7,3.452,4.372,1.471,4.124,2.713,1.671,
20260723_201235,20260723,121.7,16.793,16.475,4.31,5.676,15.228,11.32,
20260723_201802,20260723,119.7,12.638,8.885,3.778,3.773,7.769,4.407,
20260723_202327,20260723,125.3,12.666,19.525,7.426,6.0,18.05,14.314,
20260723_202936,20260723,124.7,10.539,4.83,0.295,2.89,3.127,1.142,
20260723_203503,20260723,125.7,3.196,3.507,2.139,6.0,2.299,1.947,
20260723_204028,20260723,126.7,3.013,5.247,3.139,6.0,4.169,3.336,
20260723_204554,20260723,127.0,2.938,5.828,3.08,4.65,4.668,3.133,
20260723_205121,20260723,129.7,3.058,3.822,1.05,3.883,2.683,1.566,
20260723_205646,20260723,130.3,2.967,4.713,2.286,5.918,3.288,2.486,
20260723_210211,20260723,131.3,2.977,3.982,1.846,4.277,2.917,1.849,
20260723_210739,20260723,134.0,2.963,3.791,1.831,6.0,2.44,1.927,
20260723_211304,20260723,133.7,2.969,3.945,1.234,4.161,2.856,1.772,
20260723_211829,20260723,139.3,2.846,4.678,1.126,3.087,2.646,1.124,
20260723_212356,20260723,137.7,2.872,3.344,1.251,4.799,2.037,1.394,
20260723_212921,20260723,139.3,3.028,3.178,1.412,3.928,2.417,1.426,
20260723_213448,20260723,139.3,2.767,3.903,1.368,3.831,2.382,1.373,
20260723_214015,20260723,140.7,2.819,2.944,0.45,3.049,1.696,0.703,
20260723_214540,20260723,140.0,2.803,4.963,1.393,3.327,3.398,1.646,
20260723_215105,20260723,140.7,2.696,4.121,0.384,2.911,2.379,0.885,
20260723_215633,20260723,142.0,2.806,3.723,0.789,6.0,2.261,1.773,
20260723_220158,20260723,143.7,2.641,4.532,0.874,4.525,2.817,1.858,
